date,price,daily_return,mrs,severity,action_bundle,exposure,market_value,flowpay_value
2025-01-02 00:00:00,96886.875,0.026129247147606893,,Normal,,1.0,10261.292471476068,10261.292471476068
2025-01-03 00:00:00,98107.4296875,0.012597729955682757,,Normal,,1.0,10390.561463028005,10390.561463028005
2025-01-04 00:00:00,98236.2265625,0.0013128146911018934,,Normal,,1.0,10404.202344765465,10404.202344765465
2025-01-05 00:00:00,98314.9609375,0.0008014800420892421,,Normal,,1.0,10412.541105298653,10412.541105298653
2025-01-06 00:00:00,102078.0859375,0.03827621924594227,,Normal,,1.0,10811.09381155245,10811.09381155245
2025-01-07 00:00:00,96922.703125,-0.05050430525956884,,Guarded,,0.7,10265.08702950397,10428.889064118513
2025-01-08 00:00:00,95043.5234375,-0.019388436629511285,,Guarded,,0.7,10066.063040136014,10287.349165803407
2025-01-09 00:00:00,92484.0390625,-0.026929603222076492,,Guarded,,0.7,9794.987956456742,10093.425203933975
2025-01-10 00:00:00,94701.453125,0.023976181025154863,,Normal,,1.0,10029.834360839961,10335.426993787358
2025-01-11 00:00:00,94566.59375,-0.001424047578467369,,Guarded,,0.7,10015.551399505977,10325.124295939308
2025-01-12 00:00:00,94488.4375,-0.0008264678561502592,,Guarded,,0.7,10007.273868212666,10319.150927600362
2025-01-13 00:00:00,94516.5234375,0.00029724205673309356,,Normal,,1.0,10010.248450879544,10322.21821324582
2025-01-14 00:00:00,96534.046875,0.021345722040169157,,Normal,,1.0,10223.924431865053,10542.553414063737
2025-01-15 00:00:00,100504.4921875,0.041129999632577796,,Normal,,1.0,10644.434439991166,10976.16863211061
2025-01-16 00:00:00,99756.90625,-0.0074383335632930425,,Guarded,,0.7,10565.257586033908,10919.017549637794
2025-01-17 00:00:00,104462.0390625,0.04716598568833419,,Normal,,1.0,11063.578374130348,11434.02377511468
2025-01-18 00:00:00,104408.0703125,-0.000516635042589142,,Guarded,,0.7,11057.86254184584,11429.888722962665
2025-01-19 00:00:00,101089.609375,-0.03178356737719257,,Guarded,,0.7,10706.404222699348,11175.590876124597
2025-01-20 00:00:00,102016.6640625,0.009170622908047932,,Normal,,1.0,10804.588618526855,11278.078005824156
2025-01-21 00:00:00,106146.265625,0.040479676535688514,,Normal,,1.0,11241.954870906004,11734.610955444181
2025-01-22 00:00:00,103653.0703125,-0.023488299826845638,,Guarded,,0.7,10977.900464258295,11541.67271311318
2025-01-23 00:00:00,103960.171875,0.002962783076025932,,Normal,,1.0,11010.425601964096,11575.868185696621
2025-01-24 00:00:00,104819.484375,0.008265785680243276,,Normal,,1.0,11101.435420238195,11671.551831182336
2025-01-25 00:00:00,104714.6484375,-0.0010001569662844156,,Guarded,,0.7,11090.332242266886,11663.380462472422
2025-01-26 00:00:00,102682.5,-0.019406534499448846,,Guarded,,0.7,10875.107326996984,11504.938405744802
2025-01-27 00:00:00,102087.6875,-0.005792734886665207,,Guarded,,0.7,10812.11071338766,11458.286865094478
2025-01-28 00:00:00,101332.4765625,-0.007397669160641884,,Guarded,,0.7,10732.126295401786,11398.95163433149
2025-01-29 00:00:00,103703.2109375,0.023395602825692086,,Normal,,1.0,10983.210859684172,11665.636979397583
